Attack_ID,Attack_Name,Attack_Description,Category_Balanced,Category_Skewed,Constant_Flag,Redundant_Of_Category,Binary_Noisy,Risk_Score_Bucket,Sparse_Field,Mostly_Missing,High_Cardinality_Code,Uniform_Random_Text
157,Dummy Breach E18,Se simula la explotación de un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,,,,CE214B37,rzytzclbgh
242,Mock Injection D17-1,El escenario sintético representa un componente de red ficticio con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,False ,,,,39741O4L,lletrzqluv
568,Dummy Breach E15,Este registro de prueba describe un componente de red ficticio con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta, False,High,,,8S824E7T,axsfujpght
141,Fake Overflow E11,Caso ficticio generado para evaluar un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha, True,Critical,,,CHLJDF06,wotqaigbgy
634,Test Escalation A2,Se simula la explotación de un componente de red ficticio sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Delta,True ,Critical,,,Q5UQMWME,bqbcwuztdd
263,Trial Hijack B8,Se simula la explotación de un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Delta,Dominant,Standard,Delta,True,Medium,,,DO30G3UM,srpzgfoikw
917,Dummy Breach E3,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,,,,56AMBEFC,hsjelgbxjn
843,Test Escalation C16,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,True ,High,,,KBKTDA7V,zdxkglyaln
753,Synthetic Exploit A17,El escenario sintético representa una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Beta,Dominant,Variant_B,Beta,False ,Critical,,,37A50U0V,gafqatkvhq
1079,Mock Injection C9-1,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,True,High,,,0T6W3RQY,mgrpotfgzp
286,Placeholder Attack B10,Caso ficticio generado para evaluar una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,Low,,,HVMLKBEA,qafxnxmrbp
424,Generic Compromise D7,El escenario sintético representa un componente de red ficticio como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,True,Medium,,,6TH6NR2X,pumzpzbvup
775,Synthetic Exploit A3,Este registro de prueba describe una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,False,High,,,AIYJ7G16,phsagbtcsx
1013,Placeholder Attack F4-1,Caso ficticio generado para evaluar un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta, False,Medium,,,UCHT31BC,ydwzqkxtyh
107,Sample Bypass E19,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta, False,,,,E39L1GE3,otktgjltqg
964,Generic Compromise A5,El escenario sintético representa una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,TRUE,Low,,,M6NTFD4S,oqahnrpgob
571,Test Escalation A10,Caso ficticio generado para evaluar una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,TRUE,Medium,,,JA1ANM6P,inimzpdrho
791,Synthetic Exploit D8,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,False ,Low,Evento raro C,,A3YXLGEQ,iohiakucnl
84,Placeholder Attack A6,Se simula la explotación de una condición de entrada no controlada como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,true,High,,,ENBHSO50,hllwiciuhd
7,Fake Overflow D4,Este registro de prueba describe una condición de entrada no controlada como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha,True,,,,94FRXNNI,kklgoawuww
1129,Demo Spoofing D8,Se simula la explotación de una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,False ,High,,,G6P6M6GS,znwjcdlznl
1187,Generic Compromise C18,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,7R4RJEQ0,dlfrzcdyad
343,Dummy Breach B5,Este registro de prueba describe una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,False ,Medium,,,2SJJUJ2J,ieslbpbckq
1194,Placeholder Attack A13,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,FALSE,Low,,,CH28WIZ3,slswofouns
741,Placeholder Attack F4,Se simula la explotación de una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma, False,,,,DTKAQHG3,elovbjcdtq
747,Dummy Breach E5,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,false,Low,,,YMKOULIV,hhobicgxia
421,Placeholder Attack A5,Este registro de prueba describe una configuración de prueba insegura con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,False ,,,,D1T7I1FD,vhcgqrlema
581,Mock Injection A17,El escenario sintético representa una configuración de prueba insegura sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Gamma,FALSE,Medium,,,3NTEKRU2,nxvxwzmfne
1110,Dummy Breach C19,El escenario sintético representa una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Beta,Rare3,Standard,Beta,false,,,,BRIMN99W,ywwlbwigaj
982,Dummy Breach F11,Caso ficticio generado para evaluar una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,False,Low,,,WF9U8O80,idfdrlackf
41,Dummy Breach F18,Este registro de prueba describe una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,True ,Critical,,,SI8COR6H,fkewfxyyof
1172,Generic Compromise B8,Se simula la explotación de una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta, False,Medium,,,RPD3MTMB,bjjtnlgbyq
490,Trial Hijack B7,Se simula la explotación de un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,true,High,,,ZQU9THXB,rnudpbdevi
939,Dummy Breach B8,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,Low,,,X7M9NAHJ,bcwiupeepm
296,Demo Spoofing A18,Este registro de prueba describe una condición de entrada no controlada como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,False,Critical,,,ACQUNX25,hsyemdcfie
64,Fake Overflow C19,El escenario sintético representa un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,true,Low,,,I78AYW8T,txaefgkzrq
380,Demo Spoofing E12,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,true,Critical,,,3D0KG2G0,vgvlsacquw
1185,Demo Spoofing C7,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta, False,Critical,,,5NAH8YXF,fvtgwdkymz
1047,Sample Bypass B6,Este registro de prueba describe una condición de entrada no controlada sin relación con vulnerabilidades reales.,Gamma,Rare3,Standard,Gamma,false,Critical,,,SNIPBS7I,xgzwqtrxly
265,Dummy Breach E19,Caso ficticio generado para evaluar una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Beta,false,Critical,,,35SO802A,yznmstmlvf
226,Fake Overflow E15,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,False,,,,0SHRY5EH,txbpillpza
292,Placeholder Attack B6,Se simula la explotación de un componente de red ficticio con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,False,,,,DT20BD5X,ofdsqzjbms
1162,Generic Compromise A6,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,False,Medium,,,GQWUMAGQ,weryesykvx
1144,Fake Overflow E3,Se simula la explotación de una configuración de prueba insegura como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,false,Low,,,OH3WL1K1,vablpfjqda
33,Test Escalation F15,El escenario sintético representa una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta, True,,,,DKJL0ELX,lcigojwwaj
203,Placeholder Attack D8,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta, True,,,,Q2ZUO0JC,ydjjssbhzm
417,Demo Spoofing C15,Este registro de prueba describe una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,,,,CAJ4M0JC,qyxuovdsyl
904,Synthetic Exploit A12,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,False ,High,,,GS0TODF9,tbmvwovsse
75,Placeholder Attack A18,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma, True,Low,,,K0XATKE1,acnzsqbzqv
158,Trial Hijack A7,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,False ,High,,,CQB5JLG1,samfjquyem
198,Placeholder Attack A10,El escenario sintético representa un componente de red ficticio sin relación con vulnerabilidades reales.,Beta,Dominant,Variant_B,Beta,false,High,,,567JSMWX,oieootwpxh
248,Demo Spoofing A4,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,Critical,,,WHKSPVAG,fpdlpianef
1126,Trial Hijack E17,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Alpha,True ,,,,M3VAO06Y,zskkvresie
885,Demo Spoofing B15,Este registro de prueba describe una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta, False,Medium,,,TR5S9BSE,cmnvikxlxr
1105,Fake Overflow C12,Este registro de prueba describe una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,False,High,,,O9RJXF19,pytljwfqbn
555,Placeholder Attack A7,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,False,,,,RMC3Z33C,esacfvnfjg
986,Synthetic Exploit F16-1,El escenario sintético representa un componente de red ficticio sin relación con vulnerabilidades reales.,Beta,Dominant,Standard,Beta,True ,,,,5XGOJTL8,sqsappnqet
952,Placeholder Attack F3,El escenario sintético representa una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,FALSE,Medium,,,4GAX8ST7,femrtxazrt
539,Synthetic Exploit B4,El escenario sintético representa una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,False ,Medium,,,126JMKFU,yrfnkglrkl
460,Fake Overflow D18,Este registro de prueba describe una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Gamma,true,Critical,,,NV842RFJ,wbtmojrpru
458,Sample Bypass A6,Se simula la explotación de un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Delta,Rare3,Standard,Delta,FALSE,,,,1N6JUT1S,wuopjhryap
63,Fake Overflow E14,Se simula la explotación de una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,True,Low,Evento raro B,,CGQ4PEOS,gksrolxgbq
760,Test Escalation D19,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,False ,,,,S10PPJ1M,xigenokrwt
328,Trial Hijack E13,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,True,,,,68S0Z8ME,yedajuwnly
143,Trial Hijack E0-1,Caso ficticio generado para evaluar una configuración de prueba insegura como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta, True,Low,,,K2Q1V2IW,mtmicerzwy
435,Fake Overflow F9,Este registro de prueba describe un componente de red ficticio con fines exclusivamente de validación del modelo.,Alpha,Rare3,Standard,Alpha,False ,Medium,,,3X300PNO,pdaqcdwmzy
376,Synthetic Exploit F5,Caso ficticio generado para evaluar una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,false,,,,7IEXWUOG,bwyihebqip
404,Mock Injection B15,Se simula la explotación de un componente de red ficticio con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,false,Medium,,,0LX6SF9R,dckhtrptmu
197,Test Escalation B19,Se simula la explotación de un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,false,High,,,R9ADB9DF,jfsxevimaz
167,Fake Overflow E10,El escenario sintético representa una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,FALSE,Low,,,JU1N1GXE,wpokaojvba
956,Demo Spoofing F10,Se simula la explotación de una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,true,Medium,,,6DPJX45M,hzhlvvlrlz
875,Sample Bypass A7,El escenario sintético representa un componente de red ficticio como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,TRUE,,,,T59UBJ66,vrrvcellky
135,Test Escalation F16-1,Caso ficticio generado para evaluar un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,false,,,,XBC55V54,sdbriaaurv
766,Generic Compromise D0,Caso ficticio generado para evaluar una condición de entrada no controlada como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,True,Critical,,,EX6SPD9R,hnntucccfc
476,Mock Injection B6,El escenario sintético representa una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Gamma,Rare3,Standard,Gamma, False,,,,FSP35AKH,dlbbzfglos
913,Mock Injection C10,El escenario sintético representa un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha, True,,Evento raro A,,CUQLGHT3,kurjvumppd
144,Synthetic Exploit C8-1,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,False ,Medium,,,CCEDN4DK,eeburbvecy
25,Mock Injection B4,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,false,Low,,,XYKDL2HU,tlywrxqspm
4,Mock Injection C11,Se simula la explotación de una condición de entrada no controlada sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,FALSE,High,,,H9DQ2UDJ,restqrokpj
125,Sample Bypass B9,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,False ,Critical,,,D7GTJLE2,mvxjfqwlpq
1174,Sample Bypass C8,Este registro de prueba describe una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma, False,Medium,,,CDQ1JF2U,zxrelverjy
60,Test Escalation A6,Se simula la explotación de una configuración de prueba insegura con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,false,Medium,,,56QUR5GO,celvkyptbj
1190,Dummy Breach C17,Caso ficticio generado para evaluar una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,True ,,,,BWOIYHSL,leaajaljsr
311,Synthetic Exploit E16,Se simula la explotación de un componente de red ficticio sin relación con vulnerabilidades reales.,Beta,Dominant,Standard,Beta,true,Critical,,,IMLD41QS,exnntjhzap
682,Generic Compromise A8,Este registro de prueba describe un componente de red ficticio como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Gamma,FALSE,Critical,,,Y3CH71GE,scxfyvqxvm
667,Fake Overflow C15,Caso ficticio generado para evaluar una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,True,High,,,N7F3L6YO,lcgfixfhzo
14,Generic Compromise E0,El escenario sintético representa una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,False ,Low,,,BHHH15XL,fevyvonrpy
190,Trial Hijack F19,Este registro de prueba describe una condición de entrada no controlada sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Gamma,False ,Low,,,992S31RX,bvpfbrddul
