Columna,Distribución,k,H(X),Hn(X),C(X),U(X),1-U(X),EIAC,Relevancia,Clasificación funcional,Análisis,Datos faltantes,Valor más frecuente,Frecuencia valor más frecuente,Total observado
Execution Flow,"::STEP:1:PHASE:Explore:DESCRIPTION:[Survey] The attacker surveys the target application, possibly as a valid and authenticated user:TECHNIQUE:Spidering web sites for all available links:TECHNIQUE:Brute force guessing of resource names:TECHNIQUE:Brute force guessing of user names / credentials:TECHNIQUE:Brute force guessing of function names / actions::STEP:2:PHASE:Explore:DESCRIPTION:[Identify Functionality] At each step, the attacker notes the resource or functionality access mechanism invoked upon performing specific actions:TECHNIQUE:Use the web inventory of all forms and inputs and apply attack data to those inputs.:TECHNIQUE:Use a packet sniffer to capture and record network traffic:TECHNIQUE:Execute the software in a debugger and record API calls into the operating system or important libraries. This might occur in an environment other than a production environment, in order to find weaknesses that can be exploited in a production environment.::STEP:3:PHASE:Experiment:DESCRIPTION:[Iterate over access capabilities] Possibly as a valid user, the attacker then tries to access each of the noted access mechanisms directly in order to perform functions not constrained by the ACLs.:TECHNIQUE:Fuzzing of API parameters (URL parameters, OS API parameters, protocol parameters):: = 1; ::STEP:1:PHASE:Explore:DESCRIPTION:[Identify target application] The adversary identifies a target application or program to perform the buffer overflow on. In this attack the adversary looks for an application that loads the content of an environment variable into a buffer.::STEP:2:PHASE:Experiment:DESCRIPTION:[Find injection vector] The adversary identifies an injection vector to deliver the excessive content to the targeted application's buffer.:TECHNIQUE:Change the values of environment variables thought to be used by the application to contain excessive data. If the program is loading the value of the environment variable into a buffer, this could cause a crash and an attack vector will be found.::STEP:3:PHASE:Experiment:DESCRIPTION:[Craft overflow content] The adversary crafts the content to be injected. If the intent is to simply cause the software to crash, the content need only consist of an excessive quantity of random data. If the intent is to leverage the overflow for execution of arbitrary code, the adversary crafts the payload in such a way that the overwritten return address is replaced with one of the adversary's choosing.:TECHNIQUE:Create malicious shellcode that will execute when the program execution is returned to it.:TECHNIQUE:Use a NOP-sled in the overflow content to more easily slide into the malicious code. This is done so that the exact return address need not be correct, only in the range of all of the NOPs::STEP:4:PHASE:Exploit:DESCRIPTION:[Overflow the buffer] Using the injection vector, the adversary injects the crafted overflow content into the buffer.:: = 1; ::STEP:1:PHASE:Explore:DESCRIPTION:[Identify target application] The adversary identifies a target application or program to perform the buffer overflow on. Adversaries often look for applications that accept user input and that perform manual memory management.::STEP:2:PHASE:Experiment:DESCRIPTION:[Find injection vector] The adversary identifies an injection vector to deliver the excessive content to the targeted application's buffer.:TECHNIQUE:Provide large input to a program or application and observe the behavior. If there is a crash, this means that a buffer overflow attack is possible.::STEP:3:PHASE:Experiment:DESCRIPTION:[Craft overflow content] The adversary crafts the content to be injected. If the intent is to simply cause the software to crash, the content need only consist of an excessive quantity of random data. If the intent is to leverage the overflow for execution of arbitrary code, the adversary crafts the payload in such a way that the overwritten return address is replaced with one of the adversary's choosing.:TECHNIQUE:Create malicious shellcode that will execute when the program execution is returned to it.:TECHNIQUE:Use a NOP-sled in the overflow content to more easily slide into the malicious code. This is done so that the exact return address need not be correct, only in the range of all of the NOPs::STEP:4:PHASE:Exploit:DESCRIPTION:[Overflow the buffer] Using the injection vector, the adversary injects the crafted overflow content into the buffer.:: = 1; ::STEP:1:PHASE:Explore:DESCRIPTION:[Determine applicability] The adversary determines whether server side includes are enabled on the target web server.:TECHNIQUE:Look for popular page file names. The attacker will look for .shtml, .shtm, .asp, .aspx, and other well-known strings in URLs to help determine whether SSI functionality is enabled.:TECHNIQUE:Fetch .htaccess file. In Apache web server installations, the .htaccess file may enable server side includes in specific locations. In those cases, the .htaccess file lives inside the directory where SSI is enabled, and is theoretically fetchable from the web server. Although most web servers deny fetching the .htaccess file, a misconfigured server will allow it. Thus, an attacker will frequently try it.::STEP:2:PHASE:Experiment:DESCRIPTION:[Find Injection Point] Look for user controllable input, including HTTP headers, that can carry server side include directives to the web server.:TECHNIQUE:Use a spidering tool to follow and record all links. Make special note of any links that include parameters in the URL.:TECHNIQUE:Use a proxy tool to record all links visited during a manual traversal of the web application. Make special note of any links that include parameters in the URL. Manual traversal of this type is frequently necessary to identify forms that are GET method forms rather than POST forms.::STEP:3:PHASE:Exploit:DESCRIPTION:[Inject SSI] Using the found injection point, the adversary sends arbitrary code to be inlcuded by the application on the server side. They may then need to view a particular page in order to have the server execute the include directive and run a command or open a file on behalf of the adversary.:: = 1; ... + 235 valores",239,7.900867,1.0,0.388618,0.388618,0.611382,0.237594,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,376,"::STEP:1:PHASE:Explore:DESCRIPTION:[Survey] The attacker surveys the target application, possibly as a valid and authenticated user:TECHNIQUE:Spidering web sites for all available links:TECHNIQUE:Brut",1,239
Prerequisites,"::None:: = 11; ::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.:: = 11; ::The adversary must have the means and knowledge of how to communicate with the target in some manner.:: = 9; ::Targeted software is utilizing application framework APIs:: = 6; ... + 431 valores",435,8.590197,0.980071,0.796748,0.707317,0.292683,0.228547,Baja relevancia,Candidata a limpieza o revisión,Baja relevancia informativa; candidata a limpieza o revisión.,125,::None::,11,490
alternate_terms_count,0 = 598; 2 = 9; 1 = 3; 3 = 2; ... + 2 valores,6,0.234789,0.090829,1.0,0.009756,0.990244,0.089942,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,598,615
Indicators,::Differences in requests processed by the two agents. This requires careful monitoring or a capable log analysis tool.:: = 2; ::Many incorrect login attempts are detected by the system.:: = 2; ::Authentication attempts use credentials that have been used previously by the account in question.::Authentication attempts are originating from IP addresses or locations that are inconsistent with the user's normal IP addresses or locations.::Data is being transferred and/or removed from systems/applications within the network.::Suspicious or Malicious software is downloaded/installed on systems within the domain.::Messages from a legitimate user appear to contain suspicious links or communications not consistent with the user's normal behavior.:: = 2; ::Many invalid login attempts are coming from the same machine (same IP address) or for multiple user accounts within short succession.::The login attempts use passwords that have been used previously by the user account in question.::Login attempts are originating from IP addresses or locations that are inconsistent with the user's normal IP addresses or locations.:: = 2; ... + 46 valores,50,5.593069,0.991001,0.091057,0.081301,0.918699,0.082901,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,559,::Differences in requests processed by the two agents. This requires careful monitoring or a capable log analysis tool.::,2,56
notes_length_chars,0 = 596; 718 = 4; 509 = 2; 602 = 1; ... + 12 valores,16,0.313834,0.078458,1.0,0.026016,0.973984,0.076417,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,596,615
Description,"This attack pattern has been deprecated. = 6; This attack pattern has been deprecated as it was deemed not to be a legitimate attack pattern. Please refer to CAPEC-118 : Collect and Analyze Information. = 4; This attack pattern has been deprecated as it is a duplicate of the existing attack pattern CAPEC-65 : Sniff Application Code. Please refer to this other CAPEC going forward. = 3; This CAPEC has been deprecated because it is not directly related to a weakness, social engineering, supply chains, or a physical-based attack. = 3; ... + 591 valores",595,9.186302,0.996697,0.996748,0.96748,0.03252,0.032307,Baja relevancia,Descriptiva contextual,Baja relevancia informativa; columna descriptiva o contextual.,2,This attack pattern has been deprecated.,6,613
Notes,"TYPE:Terminology:NOTE:HTTP Splitting – the act of forcing a sender of (HTTP) messages to emit data stream consisting of more messages than the sender’s intension. The messages sent are 100% valid and RFC compliant [REF-117].::::TYPE:Terminology:NOTE:HTTP Smuggling – the act of forcing a sender of (HTTP) messages to emit data stream which may be parsed as a different set of messages (i.e. dislocated message boundaries) than the sender’s intention. This is done by virtue of forcing the sender to emit non-standard messages which can be interpreted in more than one way [REF-117].::::TYPE:Relationship:NOTE:HTTP Smuggling is an evolution of previous HTTP Splitting techniques which are commonly remediated against.:: = 4; TYPE:Other:NOTE:Large quantities of data is often moved from the target system to some other adversary controlled system. Data found on a target system might require extensive resources to be fully analyzed. Using these resources on the target system might enable a defender to detect the adversary. Additionally, proper analysis tools required might not be available on the target system.::::TYPE:Other:NOTE:This attack differs from Data Interception and other data collection attacks in that the attacker actively queries the target rather than simply watching for the target to reveal information.:: = 1; TYPE:Other:NOTE:Other class of attacks focus on firmware, where malicious updates are made to the core system firmware or BIOS. Since this occurs outside the controls of the operating system, the OS detection and prevention mechanisms do not aid, thus allowing an adversary to evade defenses as well as gain persistence on the target's system.:: = 1; TYPE:Other:NOTE:White box analysis techniques include file or binary analysis, debugging, disassembly, and decompilation, and generally fall into categories referred to as 'static' and 'dynamic' analysis. Static analysis encompasses methods which analyze the binary, or extract its source code or object code without executing the program. Dynamic analysis involves analyzing the program during execution. Some forms of file analysis tools allow the executable itself to be analyzed, the most basic of which can analyze features of the binary. More sophisticated forms of static analysis analyze the binary file and extract assembly code, and possibly source code representations, from analyzing the structure of the file itself. Dynamic analysis tools execute the binary file and monitor its in memory footprint, revealing its execution flow, memory usage, register values, and machine instructions. This type of analysis is most effective for analyzing the execution of binary files whose content has been obfuscated or encrypted in its native executable form. Debuggers allow the program's execution to be monitored, and depending upon the debugger's sophistication may show relevant source code for each step in execution, or may display and allow interactions with memory, variables, or values generated by the program during run-time operations. Disassemblers operate in reverse of assemblers, allowing assembly code to be extracted from a program as it executes machine code instructions. Disassemblers allow low-level interactions with the program as it executes, such as manipulating the program's run time operations. Decompilers can be utilized to analyze a binary file and extract source code from the compiled executable. Collectively, the tools and methods described are those commonly applied to a binary executable file and provide means for reverse engineering the file by revealing the hidden functions of its operation or composition.:: = 1; ... + 12 valores",16,3.826875,0.956719,0.030894,0.026016,0.973984,0.028788,Baja relevancia,Descriptiva contextual,Baja relevancia informativa; columna descriptiva o contextual.,596,TYPE:Terminology:NOTE:HTTP Splitting – the act of forcing a sender of (HTTP) messages to emit data stream consisting of more messages than the sender’s intension. The messages sent are 100% valid and ,4,19
Alternate Terms,"::TERM:XML Denial of Service (XML DoS):DESCRIPTION::: = 3; ::TERM:HTTP Desync:DESCRIPTION:Modification/manipulation of HTTP message headers, request-line and body parameters to disrupt and interfere in the interpretation and parsing of HTTP message lengths/boundaries for consecutive HTTP messages by HTTP agents in a HTTP chain or network path.:: = 2; ::TERM:Directory Traversal:DESCRIPTION::: = 1; ::TERM:Smishing:DESCRIPTION:::TERM:MobPhishing:DESCRIPTION::: = 1; ... + 10 valores",14,3.690117,0.969207,0.027642,0.022764,0.977236,0.026181,Baja relevancia,Descriptiva contextual,Baja relevancia informativa; columna descriptiva o contextual.,598,::TERM:XML Denial of Service (XML DoS):DESCRIPTION:::,3,17
ID,1 = 1; 10 = 1; 100 = 1; 101 = 1; ... + 611 valores,615,9.264443,1.0,1.0,1.0,0.0,0.0,Baja relevancia,Trazabilidad,Baja relevancia informativa; columna de trazabilidad.,0,1,1,615
Name,Accessing Functionality Not Properly Constrained by ACLs = 1; Buffer Overflow via Environment Variables = 1; Overflow Buffers = 1; Server Side Include (SSI) Injection = 1; ... + 611 valores,615,9.264443,1.0,1.0,1.0,0.0,0.0,Baja relevancia,Trazabilidad,Baja relevancia informativa; columna de trazabilidad.,0,Accessing Functionality Not Properly Constrained by ACLs,1,615
