ID,Name,Description,Abstraction,Likelihood Of Attack,Status,Redundant_Of_Category,Binary_Noisy,Typical Severity,Sparse_Field,Mostly_Missing,High_Cardinality_Code,Uniform_Random_Text,description_length_chars
1050,Placeholder Attack B3,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,Critical,,,J9DIUV67,ptzuhxgzpr,124
103,Dummy Breach D15,Este registro de prueba describe una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Beta,Dominant,Standard,Beta,TRUE,,,,MPY7SSBP,fclqbqkvsw,111
369,Fake Overflow F6,El escenario sintético representa un componente de red ficticio con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,Critical,,,BQZSC82W,ofankqzjwe,114
3,Dummy Breach E4,El escenario sintético representa una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,High,,,5EDZ2RZE,arddekkdoa,123
863,Demo Spoofing C19,Caso ficticio generado para evaluar una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Beta,TRUE,Critical,,,RE9NFQO5,fvmecqualu,114
122,Dummy Breach B13,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,TRUE,Critical,,,PAV979ON,hajigvrhup,122
847,Fake Overflow F11,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,Low,,,GRDJYIU8,qkpmfuaafw,125
1104,Mock Injection E13,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,TRUE,,,,BHE3EYZN,gvmicustjl,116
1102,Test Escalation D5,Este registro de prueba describe un componente de red ficticio sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Gamma,TRUE,Low,,,YYWJKZY9,iajvezbaao,104
156,Generic Compromise F15-1,El escenario sintético representa una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Rare2,Standard,Gamma,FALSE,Low,,,7RFUS1XM,xwjlzhycsd,123
865,Generic Compromise B12,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,VK5Q77GV,tmflmxemgc,124
990,Generic Compromise B4,Este registro de prueba describe una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,FALSE,Low,,,DVAPUVHE,uvgnedqeno,115
1145,Dummy Breach C12,El escenario sintético representa una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,B9PZ6Q4I,fyqcalzhql,120
649,Placeholder Attack D6,Caso ficticio generado para evaluar una configuración de prueba insegura con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,TRUE,,,,Z8BN5KUE,ygqamgdykh,123
414,Trial Hijack D6,Se simula la explotación de una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,Medium,,,G30ZI2VD,hzfmdiqeea,114
398,Fake Overflow A9,Se simula la explotación de un componente de red ficticio como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,Low,,,R5KM6Q0L,kjrtmrkkuw,103
725,Fake Overflow E6,Caso ficticio generado para evaluar un componente de red ficticio como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,TRUE,High,,,70TSO3CZ,zzpfuqaqwn,111
45,Generic Compromise E4,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,Medium,,,3QTDQXGR,zxkfttxeva,123
829,Synthetic Exploit D4,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,NHD4FSND,xcmlprbkkx,117
793,Synthetic Exploit A19,Este registro de prueba describe una condición de entrada no controlada sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,FALSE,Medium,,,TXWEH715,cdvablmdgv,113
699,Synthetic Exploit F1,Este registro de prueba describe un componente de red ficticio como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,V3HM3OJV,plbteipxus,108
615,Dummy Breach F0,Se simula la explotación de un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,Critical,,,UTJPUUH6,maxapoczcx,107
981,Placeholder Attack F16,Se simula la explotación de una condición de entrada no controlada como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,Critical,,,LDZ8JOT3,qkuyesmjeb,112
1055,Synthetic Exploit E8,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Rare3,Standard,Beta,FALSE,Low,,,0HR1HRG1,rrthgudvkg,116
823,Demo Spoofing F19,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,FALSE,,,,I3HQT3JS,mlhcuzspux,116
366,Test Escalation A16,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,TRUE,Medium,,,NPUCUM9I,pebiezspor,117
36,Placeholder Attack B15,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,TRUE,Medium,Evento raro A,,B1WRMXFX,kstfoliamq,125
759,Fake Overflow B11,Este registro de prueba describe una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,TRUE,High,,,QKITWK85,mxibxoryxe,111
281,Mock Injection A8,El escenario sintético representa una condición de entrada no controlada como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha,TRUE,High,,,8ECE25FZ,lbmqdhbkct,118
663,Synthetic Exploit E18,El escenario sintético representa una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,Low,,,QC2FAIGN,pnlqtopdil,121
455,Mock Injection D11,Este registro de prueba describe una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Variant_B,Beta,TRUE,,,,7TYX2KN4,adyhaehfss,119
1021,Synthetic Exploit C13,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,,,,LTZSWYDU,alpkqiibur,117
1133,Placeholder Attack C4,El escenario sintético representa una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,TRUE,High,,,6FHN4P4W,kictcjkjtr,120
740,Synthetic Exploit B16,Este registro de prueba describe una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Variant_A,Alpha,TRUE,Medium,,,I91CK1NX,juwbpsqrju,121
383,Demo Spoofing B0,El escenario sintético representa una configuración de prueba insegura sin relación con vulnerabilidades reales.,Delta,Dominant,Standard,Delta,FALSE,Low,,,DNSEK42H,ijwjjfhzhb,112
942,Sample Bypass D13,Este registro de prueba describe una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,Low,,,MQSORF1R,ccrtcqivvq,115
706,Placeholder Attack C11,Este registro de prueba describe una configuración de prueba insegura como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,TRUE,High,,,14IUQA7M,tfdkzlbreh,115
138,Synthetic Exploit F11,Caso ficticio generado para evaluar una configuración de prueba insegura como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,TRUE,High,,,VTVGNE0G,ldnogowphg,118
723,Fake Overflow B9,Caso ficticio generado para evaluar un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,FALSE,,,,KBKTDA7V,agmionchwk,120
659,Mock Injection A5,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,FALSE,Critical,,,ZCPZUFVZ,cuymemikrx,116
919,Fake Overflow D15,Este registro de prueba describe un componente de red ficticio con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,TRUE,Medium,,,QMSGYNU0,anjrdxavlm,113
157,Dummy Breach E18,Se simula la explotación de un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,,,,CE214B37,rzytzclbgh,107
242,Mock Injection D17-1,El escenario sintético representa un componente de red ficticio con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,,,,39741O4L,lletrzqluv,114
568,Dummy Breach E15,Este registro de prueba describe un componente de red ficticio con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,High,,,8S824E7T,axsfujpght,113
141,Fake Overflow E11,Caso ficticio generado para evaluar un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,TRUE,Critical,,,CHLJDF06,wotqaigbgy,116
634,Test Escalation A2,Se simula la explotación de un componente de red ficticio sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Delta,TRUE,Critical,,,Q5UQMWME,bqbcwuztdd,99
263,Trial Hijack B8,Se simula la explotación de un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Delta,Dominant,Standard,Delta,TRUE,Medium,,,DO30G3UM,srpzgfoikw,108
917,Dummy Breach E3,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,,,,56AMBEFC,hsjelgbxjn,116
843,Test Escalation C16,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,High,,,KBKTDA7V,zdxkglyaln,112
753,Synthetic Exploit A17,El escenario sintético representa una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Beta,Dominant,Variant_B,Beta,FALSE,Critical,,,37A50U0V,gafqatkvhq,116
1079,Mock Injection C9-1,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,TRUE,High,,,0T6W3RQY,mgrpotfgzp,116
286,Placeholder Attack B10,Caso ficticio generado para evaluar una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,Low,,,HVMLKBEA,qafxnxmrbp,124
424,Generic Compromise D7,El escenario sintético representa un componente de red ficticio como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,TRUE,Medium,,,6TH6NR2X,pumzpzbvup,109
775,Synthetic Exploit A3,Este registro de prueba describe una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,FALSE,High,,,AIYJ7G16,phsagbtcsx,119
1013,Placeholder Attack F4-1,Caso ficticio generado para evaluar un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,FALSE,Medium,,,UCHT31BC,ydwzqkxtyh,115
107,Sample Bypass E19,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,,,,E39L1GE3,otktgjltqg,123
964,Generic Compromise A5,El escenario sintético representa una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,TRUE,Low,,,M6NTFD4S,oqahnrpgob,112
571,Test Escalation A10,Caso ficticio generado para evaluar una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,TRUE,Medium,,,JA1ANM6P,inimzpdrho,122
791,Synthetic Exploit D8,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,Low,Evento raro C,,A3YXLGEQ,iohiakucnl,124
84,Placeholder Attack A6,Se simula la explotación de una condición de entrada no controlada como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,High,,,ENBHSO50,hllwiciuhd,112
7,Fake Overflow D4,Este registro de prueba describe una condición de entrada no controlada como parte de un conjunto de datos sintético.,Alpha,Dominant,Standard,Alpha,TRUE,,,,94FRXNNI,kklgoawuww,117
1129,Demo Spoofing D8,Se simula la explotación de una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,High,,,G6P6M6GS,znwjcdlznl,115
1187,Generic Compromise C18,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,TRUE,Medium,,,7R4RJEQ0,dlfrzcdyad,125
343,Dummy Breach B5,Este registro de prueba describe una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,FALSE,Medium,,,2SJJUJ2J,ieslbpbckq,119
1194,Placeholder Attack A13,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,FALSE,Low,,,CH28WIZ3,slswofouns,116
741,Placeholder Attack F4,Se simula la explotación de una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,FALSE,,,,DTKAQHG3,elovbjcdtq,114
747,Dummy Breach E5,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,FALSE,Low,,,YMKOULIV,hhobicgxia,122
421,Placeholder Attack A5,Este registro de prueba describe una configuración de prueba insegura con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,,,,D1T7I1FD,vhcgqrlema,120
581,Mock Injection A17,El escenario sintético representa una configuración de prueba insegura sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Gamma,FALSE,Medium,,,3NTEKRU2,nxvxwzmfne,112
1110,Dummy Breach C19,El escenario sintético representa una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Beta,Rare3,Standard,Beta,FALSE,,,,BRIMN99W,ywwlbwigaj,112
982,Dummy Breach F11,Caso ficticio generado para evaluar una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,FALSE,Low,,,WF9U8O80,idfdrlackf,122
41,Dummy Breach F18,Este registro de prueba describe una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,Critical,,,SI8COR6H,fkewfxyyof,119
1172,Generic Compromise B8,Se simula la explotación de una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,Medium,,,RPD3MTMB,bjjtnlgbyq,115
490,Trial Hijack B7,Se simula la explotación de un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,High,,,ZQU9THXB,rnudpbdevi,112
939,Dummy Breach B8,Se simula la explotación de un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,Low,,,X7M9NAHJ,bcwiupeepm,116
296,Demo Spoofing A18,Este registro de prueba describe una condición de entrada no controlada como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,FALSE,Critical,,,ACQUNX25,hsyemdcfie,117
64,Fake Overflow C19,El escenario sintético representa un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,Low,,,I78AYW8T,txaefgkzrq,122
380,Demo Spoofing E12,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,TRUE,Critical,,,3D0KG2G0,vgvlsacquw,123
1185,Demo Spoofing C7,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,Critical,,,5NAH8YXF,fvtgwdkymz,117
1047,Sample Bypass B6,Este registro de prueba describe una condición de entrada no controlada sin relación con vulnerabilidades reales.,Gamma,Rare3,Standard,Gamma,FALSE,Critical,,,SNIPBS7I,xgzwqtrxly,113
265,Dummy Breach E19,Caso ficticio generado para evaluar una configuración de prueba insegura sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Beta,FALSE,Critical,,,35SO802A,yznmstmlvf,114
226,Fake Overflow E15,Se simula la explotación de una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,,,,0SHRY5EH,txbpillpza,116
292,Placeholder Attack B6,Se simula la explotación de un componente de red ficticio con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,,,,DT20BD5X,ofdsqzjbms,108
1162,Generic Compromise A6,Caso ficticio generado para evaluar una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,Medium,,,GQWUMAGQ,weryesykvx,123
1144,Fake Overflow E3,Se simula la explotación de una configuración de prueba insegura como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,FALSE,Low,,,OH3WL1K1,vablpfjqda,110
33,Test Escalation F15,El escenario sintético representa una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,TRUE,,,,DKJL0ELX,lcigojwwaj,116
203,Placeholder Attack D8,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,,,,Q2ZUO0JC,ydjjssbhzm,112
417,Demo Spoofing C15,Este registro de prueba describe una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,,,,CAJ4M0JC,qyxuovdsyl,121
904,Synthetic Exploit A12,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,High,,,GS0TODF9,tbmvwovsse,117
75,Placeholder Attack A18,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,TRUE,Low,,,K0XATKE1,acnzsqbzqv,117
158,Trial Hijack A7,Caso ficticio generado para evaluar un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,High,,,CQB5JLG1,samfjquyem,125
198,Placeholder Attack A10,El escenario sintético representa un componente de red ficticio sin relación con vulnerabilidades reales.,Beta,Dominant,Variant_B,Beta,FALSE,High,,,567JSMWX,oieootwpxh,105
248,Demo Spoofing A4,Se simula la explotación de un mecanismo de autenticación simulado con fines exclusivamente de validación del modelo.,Alpha,Dominant,Standard,Alpha,FALSE,Critical,,,WHKSPVAG,fpdlpianef,117
1126,Trial Hijack E17,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Alpha,TRUE,,,,M3VAO06Y,zskkvresie,112
885,Demo Spoofing B15,Este registro de prueba describe una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,Medium,,,TR5S9BSE,cmnvikxlxr,122
1105,Fake Overflow C12,Este registro de prueba describe una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,FALSE,High,,,O9RJXF19,pytljwfqbn,115
555,Placeholder Attack A7,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,FALSE,,,,RMC3Z33C,esacfvnfjg,124
986,Synthetic Exploit F16-1,El escenario sintético representa un componente de red ficticio sin relación con vulnerabilidades reales.,Beta,Dominant,Standard,Beta,TRUE,,,,5XGOJTL8,sqsappnqet,105
952,Placeholder Attack F3,El escenario sintético representa una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,FALSE,Medium,,,4GAX8ST7,femrtxazrt,123
539,Synthetic Exploit B4,El escenario sintético representa una configuración de prueba insegura generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,FALSE,Medium,,,126JMKFU,yrfnkglrkl,120
460,Fake Overflow D18,Este registro de prueba describe una dependencia simulada sin parches sin relación con vulnerabilidades reales.,Gamma,Dominant,Standard,Gamma,TRUE,Critical,,,NV842RFJ,wbtmojrpru,111
458,Sample Bypass A6,Se simula la explotación de un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Delta,Rare3,Standard,Delta,FALSE,,,,1N6JUT1S,wuopjhryap,112
63,Fake Overflow E14,Se simula la explotación de una dependencia simulada sin parches con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,TRUE,Low,Evento raro B,,CGQ4PEOS,gksrolxgbq,115
760,Test Escalation D19,Este registro de prueba describe un componente de red ficticio generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,FALSE,,,,S10PPJ1M,xigenokrwt,112
328,Trial Hijack E13,El escenario sintético representa una condición de entrada no controlada generado aleatoriamente para pruebas de entropía.,Delta,Dominant,Standard,Delta,TRUE,,,,68S0Z8ME,yedajuwnly,122
143,Trial Hijack E0-1,Caso ficticio generado para evaluar una configuración de prueba insegura como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,TRUE,Low,,,K2Q1V2IW,mtmicerzwy,118
435,Fake Overflow F9,Este registro de prueba describe un componente de red ficticio con fines exclusivamente de validación del modelo.,Alpha,Rare3,Standard,Alpha,FALSE,Medium,,,3X300PNO,pdaqcdwmzy,113
376,Synthetic Exploit F5,Caso ficticio generado para evaluar una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,,,,7IEXWUOG,bwyihebqip,125
404,Mock Injection B15,Se simula la explotación de un componente de red ficticio con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,Medium,,,0LX6SF9R,dckhtrptmu,108
197,Test Escalation B19,Se simula la explotación de un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,FALSE,High,,,R9ADB9DF,jfsxevimaz,108
167,Fake Overflow E10,El escenario sintético representa una dependencia simulada sin parches como parte de un conjunto de datos sintético.,Delta,Dominant,Standard,Delta,FALSE,Low,,,JU1N1GXE,wpokaojvba,116
956,Demo Spoofing F10,Se simula la explotación de una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Beta,Dominant,Standard,Beta,TRUE,Medium,,,6DPJX45M,hzhlvvlrlz,114
875,Sample Bypass A7,El escenario sintético representa un componente de red ficticio como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,TRUE,,,,T59UBJ66,vrrvcellky,109
135,Test Escalation F16-1,Caso ficticio generado para evaluar un mecanismo de autenticación simulado como parte de un conjunto de datos sintético.,Beta,Dominant,Standard,Beta,FALSE,,,,XBC55V54,sdbriaaurv,120
766,Generic Compromise D0,Caso ficticio generado para evaluar una condición de entrada no controlada como parte de un conjunto de datos sintético.,Gamma,Dominant,Standard,Gamma,TRUE,Critical,,,EX6SPD9R,hnntucccfc,120
476,Mock Injection B6,El escenario sintético representa una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Gamma,Rare3,Standard,Gamma,FALSE,,,,FSP35AKH,dlbbzfglos,120
913,Mock Injection C10,El escenario sintético representa un mecanismo de autenticación simulado sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,TRUE,,Evento raro A,,CUQLGHT3,kurjvumppd,114
144,Synthetic Exploit C8-1,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Beta,Dominant,Standard,Beta,FALSE,Medium,,,CCEDN4DK,eeburbvecy,117
25,Mock Injection B4,Se simula la explotación de una condición de entrada no controlada con fines exclusivamente de validación del modelo.,Gamma,Dominant,Standard,Gamma,FALSE,Low,,,XYKDL2HU,tlywrxqspm,117
4,Mock Injection C11,Se simula la explotación de una condición de entrada no controlada sin relación con vulnerabilidades reales.,Alpha,Dominant,Standard,Alpha,FALSE,High,,,H9DQ2UDJ,restqrokpj,108
125,Sample Bypass B9,Caso ficticio generado para evaluar un mecanismo de autenticación simulado generado aleatoriamente para pruebas de entropía.,Alpha,Dominant,Standard,Alpha,FALSE,Critical,,,D7GTJLE2,mvxjfqwlpq,124
1174,Sample Bypass C8,Este registro de prueba describe una dependencia simulada sin parches generado aleatoriamente para pruebas de entropía.,Gamma,Dominant,Standard,Gamma,FALSE,Medium,,,CDQ1JF2U,zxrelverjy,119
60,Test Escalation A6,Se simula la explotación de una configuración de prueba insegura con fines exclusivamente de validación del modelo.,Delta,Dominant,Standard,Delta,FALSE,Medium,,,56QUR5GO,celvkyptbj,115
